Referencia,Perfil,Género,Jornada laboral,Equipo,Ubicación,Nivel Estudios,Estado Civil,Fecha Nacimiento,Edad,Antigüedad,Fecha Fin,Años en Empresa,Grupo Profesional,Salario mensual,Categoria,Distancia al trabajo (KM),Promociones,Nivel de satisfacción
TRB-0000105,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Doctorado,SOLTERO/A,02/04/1978,47,05/11/2019,05/10/2020,0,GRUPO 4,1930,TECNICAS,5,1,3
TRB-0000106,Activo,Mujer,PARCIAL,NIGER,EXPATRIADO,Máster,CASADO,02/09/1983,42,05/11/2019,,6,GRUPO 2.1 (R),2657,REFERENTES,5,3,3
TRB-0000107,No activo,Mujer,COMPLETA,INNOVACION Y ESS,ESPAÑA,Grado Universitario,SOLTERO/A,23/07/1979,46,14/11/2019,03/09/2022,2,GRUPO 2.2,2445,TECNICAS,8,0,3
TRB-0000108,No activo,Mujer,COMPLETA,INNOVACION Y ESS,ESPAÑA,Máster,DIVORCIADO/A LEGALMENTE,03/06/1969,56,14/11/2019,06/07/2021,1,GRUPO 1 (R),2782,REFERENTES,15,3,2
TRB-0000109,No activo,Mujer,COMPLETA,INNOVACION Y ESS,ESPAÑA,Grado Universitario,CASADO,21/08/1972,53,14/11/2019,01/10/2020,0,GRUPO 2.2,2445,TECNICAS,16,0,2
TRB-0000110,No activo,Mujer,COMPLETA,VALLADOLID,ESPAÑA,Grado Universitario,SOLTERO/A,10/12/1992,33,18/11/2019,21/09/2020,0,GRUPO 3.2,2012,TECNICAS,7,0,2
TRB-0000111,No activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,10/12/1992,33,18/11/2019,21/09/2020,0,GRUPO 3.2,2012,TECNICAS,12,0,3
TRB-0000112,No activo,Hombre,COMPLETA,SENEGAL,EXPATRIADO,Grado Universitario,CASADO,21/09/1963,62,01/01/2020,22/04/2020,0,GRUPO 2.2,2445,TECNICAS,5,0,3
TRB-0000113,Activo,Mujer,COMPLETA,MAGREB,EXPATRIADO,Máster,SOLTERO/A,26/05/1977,48,07/01/2020,,5,GRUPO 2.2,2652,TECNICAS,6,0,3
TRB-0000114,No activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,--,--,0,125,#N/A,,#N/A,N/A,#N/A,BECARIO,16,0,1
TRB-0000115,No activo,Mujer,COMPLETA,MAGREB,EXPATRIADO,Máster,SOLTERO/A,13/01/1988,37,15/01/2020,31/12/2020,0,GRUPO 3.2,2012,TECNICAS,18,0,4
TRB-0000116,No activo,Mujer,PARCIAL,SANTANDER,ESPAÑA,Máster,CASADO,25/11/1967,58,13/02/2020,14/12/2020,0,GRUPO 3.2,2012,TECNICAS,8,0,3
TRB-0000117,Activo,Mujer,COMPLETA,GIJON,ESPAÑA,Grado Superior,SOLTERO/A,19/06/1990,35,05/03/2020,,5,GRUPO 3.1,2316,TECNICAS,12,2,3
TRB-0000119,Activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,Máster,CASADO,21/10/1988,37,19/09/2022,,3,GRUPO 2.2,2573,TECNICAS,16,2,4
TRB-0000120,Activo,Mujer,COMPLETA,SANTIAGO DE COMPOSTELA,ESPAÑA,Máster,SOLTERO/A,12/07/1989,36,01/04/2020,,5,GRUPO 3.1,2327,TECNICAS,13,1,4
TRB-0000121,No activo,Mujer,PARCIAL,SEVILLA,ESPAÑA,ESO,SOLTERO/A,12/01/1970,55,25/06/2018,31/01/2021,2,GRUPO 4,1930,TECNICAS,20,0,2
TRB-0000122,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Grado Superior,DIVORCIADO/A LEGALMENTE,03/03/1967,58,16/07/2020,05/05/2023,2,GRUPO 2.2,2445,TECNICAS,18,1,1
TRB-0000123,No activo,Mujer,COMPLETA,MALAGA,ESPAÑA,Grado Universitario,SOLTERO/A,06/01/1981,44,18/08/2020,18/06/2022,1,GRUPO 3.2,2012,TECNICAS,10,1,3
TRB-0000124,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Grado Superior,SOLTERO/A,14/02/1996,29,24/08/2020,19/06/2021,0,GRUPO 4,1930,TECNICAS,11,0,3
TRB-0000125,No activo,Mujer,COMPLETA,VALLADOLID,ESPAÑA,Máster,SOLTERO/A,26/03/1987,38,22/09/2020,14/05/2021,0,GRUPO 3.2,2012,TECNICAS,12,0,2
TRB-0000126,No activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,09/08/1990,35,28/09/2020,16/04/2021,0,GRUPO 3.2,2012,TECNICAS,9,0,1
TRB-0000127,No activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,28/08/1991,34,07/10/2020,28/02/2021,0,GRUPO 4,1930,TECNICAS,19,0,3
TRB-0000128,No activo,Mujer,COMPLETA,SEVILLA,ESPAÑA,Bachillerato,SOLTERO/A,12/01/1997,28,13/10/2020,30/09/2023,2,GRUPO 3.1,2195,TECNICAS,8,1,3
TRB-0000129,Activo,Mujer,COMPLETA,SENEGAL,EXPATRIADO,Máster,SOLTERO/A,20/11/1992,33,28/10/2020,,5,GRUPO 2.2,2675,TECNICAS,7,3,4
TRB-0000130,No activo,Mujer,COMPLETA,ADMINISTRACION,ESPAÑA,Máster,SOLTERO/A,16/02/1983,42,04/11/2020,03/06/2021,0,GRUPO 3.2,2012,ADMINISTRACION,7,0,1
TRB-0000132,Activo,Mujer,COMPLETA,SANTANDER,ESPAÑA,Máster,SOLTERO/A,25/04/1990,35,14/03/2023,,2,GRUPO 2.2,2440,TECNICAS,11,0,3
TRB-0000133,No activo,Mujer,PARCIAL,VALENCIA,ESPAÑA,Máster,SOLTERO/A,01/08/1997,28,23/08/2021,23/04/2022,0,GRUPO 3.2,2012,TECNICAS,10,1,3
TRB-0000134,No activo,Hombre,COMPLETA,BARCELONA,ESPAÑA,Grado Universitario,SOLTERO/A,27/02/1992,33,02/03/2021,25/02/2022,0,GRUPO 3.2,2012,TECNICAS,5,0,3
TRB-0000135,No activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,SOLTERO/A,28/10/1992,33,02/03/2021,20/10/2022,1,GRUPO 3.1,2195,TECNICAS,16,0,2
TRB-0000136,No activo,Hombre,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,SOLTERO/A,26/01/1992,33,02/03/2021,26/03/2023,2,GRUPO 3.1,2195,TECNICAS,18,0,2
TRB-0000137,No activo,Hombre,COMPLETA,SEVILLA,ESPAÑA,Grado Universitario,SOLTERO/A,21/09/1993,32,08/03/2021,31/12/2024,3,GRUPO 3.1,2195,TECNICAS,15,1,3
TRB-0000138,No activo,Hombre,COMPLETA,SENEGAL,EXPATRIADO,Máster,SOLTERO/A,06/08/1993,32,22/03/2021,30/10/2023,2,GRUPO 3.2,2012,TECNICAS,20,1,2
TRB-0000139,Activo,Hombre,COMPLETA,VALENCIA,ESPAÑA,Máster,CASADO,20/12/1986,39,13/03/2021,,4,GRUPO 2.2,2608,TECNICAS,10,1,2
TRB-0000140,No activo,Mujer,COMPLETA,PALMA DE MALLORCA,ESPAÑA,Máster,SOLTERO/A,31/05/1997,28,06/04/2021,01/10/2023,2,GRUPO 3.1,2195,TECNICAS,14,0,3
TRB-0000141,No activo,Hombre,COMPLETA,SEVILLA,ESPAÑA,Máster,SOLTERO/A,13/06/1991,34,15/04/2021,09/11/2022,1,GRUPO 4,1930,TECNICAS,11,0,3
TRB-0000142,No activo,Mujer,COMPLETA,SEVILLA,ESPAÑA,Grado Universitario,CASADO,28/02/1968,57,15/04/2021,27/06/2021,0,GRUPO 3.1,2195,TECNICAS,11,0,2
TRB-0000144,No activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,Máster,SOLTERO/A,27/07/1981,44,26/04/2021,25/08/2022,1,GRUPO 3.2,2012,TECNICAS,16,1,2
