Referencia,Perfil,Género,Jornada laboral,Equipo,Ubicación,Nivel Estudios,Estado Civil,Fecha Nacimiento,Edad,Antigüedad,Fecha Fin,Años en Empresa,Grupo Profesional,Salario mensual,Categoria,Distancia al trabajo (KM),Promociones,Nivel de satisfacción
TRB-0000215,Activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,CASADO,03/06/1999,26,10/07/2023,,2,GRUPO 3.1,2199,TECNICAS,9,0,4
TRB-0000216,Activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Grado Universitario,SOLTERO/A,19/03/1999,26,03/07/2023,,2,GRUPO 3.1,2195,TECNICAS,9,1,3
TRB-0000217,Activo,Mujer,COMPLETA,ADMINISTRACION,ESPAÑA,ESO,CASADO,11/09/1987,38,20/07/2023,,2,GRUPO 3.1,2297,ADMINISTRACION,9,1,4
TRB-0000218,Activo,Hombre,COMPLETA,ADMINISTRACION,ESPAÑA,Grado Universitario,CASADO,11/09/1971,54,20/07/2023,,2,GRUPO 3.2,2002,ADMINISTRACION,6,0,2
TRB-0000219,No activo,Hombre,COMPLETA,SENEGAL,ESPAÑA,Máster,CASADO,06/06/1995,30,01/08/2023,30/01/2024,0,GRUPO 3.2,2012,TECNICAS,6,0,1
TRB-0000220,Activo,Mujer,COMPLETA,REPUBLICA DOMINICANA,EXPATRIADO,Máster,CASADO,04/02/1976,49,11/09/2023,,2,GRUPO 2.2,2548,TECNICAS,12,0,3
TRB-0000221,Activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,SOLTERO/A,14/12/1997,28,26/09/2023,,2,GRUPO 3.1,2206,TECNICAS,14,1,3
TRB-0000222,No activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,03/08/1988,37,01/10/2023,08/12/2024,1,GRUPO 3.1,2195,TECNICAS,7,0,1
TRB-0000223,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,14/10/2000,25,23/10/2023,,2,GRUPO 3.1,2195,TECNICAS,19,2,2
TRB-0000224,Activo,Mujer,COMPLETA,PAMPLONA,ESPAÑA,Grado Universitario,SOLTERO/A,20/08/1995,30,23/10/2023,,2,GRUPO 3.1,2187,TECNICAS,18,2,2
TRB-0000225,Activo,Mujer,COMPLETA,PALMA DE MALLORCA,ESPAÑA,Doctorado,SOLTERO/A,23/01/1978,47,13/11/2023,,2,GRUPO 3.2,2012,TECNICAS,19,0,3
TRB-0000226,No activo,Mujer,COMPLETA,SANTANDER,ESPAÑA,Máster,SOLTERO/A,08/06/1980,45,12/02/2024,17/11/2024,0,GRUPO 3.2,2012,TECNICAS,7,0,2
TRB-0000231,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Grado Superior,SOLTERO/A,09/02/1991,34,22/05/2023,21/11/2023,0,#N/A,#N/A,BECARIO,9,0,1
TRB-0000232,No activo,Mujer,COMPLETA,MERIDA,ESPAÑA,Grado Universitario,SOLTERO/A,16/06/1995,30,01/05/2023,31/10/2023,0,#N/A,#N/A,BECARIO,18,0,3
TRB-0000233,No activo,Mujer,PARCIAL,VALENCIA,ESPAÑA,--,--,0,125,11/11/2024,25/03/2025,0,#N/A,#N/A,BECARIO,18,0,3
TRB-0000234,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,18/08/1999,26,14/10/2024,,1,GRUPO 3.2,2012,TECNICAS,7,0,2
TRB-0000235,Activo,Hombre,COMPLETA,SEVILLA,ESPAÑA,Grado Superior,SOLTERO/A,07/05/1993,32,15/01/2025,,0,GRUPO 3.1,2195,TECNICAS,14,0,2
TRB-0000236,Activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,20/02/1996,29,15/01/2025,,0,GRUPO 3.2,2012,TECNICAS,20,0,4
TRB-0000237,Activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,11/10/1986,39,15/01/2025,,0,GRUPO 2.2,2444,TECNICAS,10,0,3
TRB-0000239,Activo,Hombre,PARCIAL,VALENCIA,ESPAÑA,--,--,0,125,#N/A,,#N/A,N/A,#N/A,BECARIO,7,0,4
TRB-0000241,Activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,07/07/1997,28,03/03/2025,,0,GRUPO 3.1,2309,TECNICAS,17,0,4
TRB-0000242,Activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,03/05/1982,43,03/03/2025,,0,GRUPO 2.2,2545,TECNICAS,16,0,4
TRB-0000243,Activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,24/08/1998,27,03/03/2025,,0,GRUPO 3.2,2024,TECNICAS,12,0,3
TRB-0000244,Activo,Hombre,PARCIAL,CASTILLA Y LEON,ESPAÑA,--,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,15,0,3
TRB-0000245,Activo,Hombre,PARCIAL,CASTILLA Y LEON,ESPAÑA,--,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,19,0,1
TRB-0000246,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,09/11/1996,29,07/04/2025,,0,GRUPO 3.2,2114,TECNICAS,10,0,3
TRB-0000247,Activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Grado Universitario,SOLTERO/A,09/06/2000,25,12/05/2025,,0,GRUPO 3.2,2012,TECNICAS,14,0,4
TRB-0000248,Activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,Máster,SOLTERO/A,03/07/1995,30,21/05/2025,,0,GRUPO 3.1,2186,TECNICAS,8,0,3
TRB-0000249,Activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,Máster,SOLTERO/A,04/05/1985,40,26/05/2025,,0,GRUPO 2.2,2477,TECNICAS,19,0,3
